,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
35637,STATE - WEST BENGAL,"Processing and preserving of fish, crustaceans and molluscs and",2433,2179,254,1716,1534,182,717,645,72,1463,882,581,1313,760,553,150,122,28,3896,8.578740157480315,22.65423406060606,82.20022463636361
35638,STATE - WEST BENGAL,Processing and preserving of fruit and vegetables,8364,6905,1459,3053,2564,489,5311,4341,970,3045,1554,1491,1861,846,1015,1184,708,476,11409,4.732693625771076,22.65423406060606,82.20022463636361
35639,STATE - WEST BENGAL,Processing and preserving of fruit and vegetables,8364,6905,1459,3053,2564,489,5311,4341,970,3045,1554,1491,1861,846,1015,1184,708,476,11409,4.732693625771076,22.65423406060606,82.20022463636361
35640,STATE - WEST BENGAL,Manufacture of vegetable and animal oils and fats,6359,5753,606,3201,2824,377,3158,2929,229,862,448,414,658,320,338,204,128,76,7221,9.493399339933994,22.65423406060606,82.20022463636361
35641,STATE - WEST BENGAL,Manufacture of vegetable and animal oils and fats,6359,5753,606,3201,2824,377,3158,2929,229,862,448,414,658,320,338,204,128,76,7221,9.493399339933994,22.65423406060606,82.20022463636361
35642,STATE - WEST BENGAL,"Manufacture of grain mill products, starches and starch products",74619,61284,13335,49046,39863,9183,25573,21421,4152,22042,9874,12168,18886,8140,10746,3156,1734,1422,96661,4.595725534308212,22.65423406060606,82.20022463636361
35643,STATE - WEST BENGAL,Manufacture of grain mill products,73202,59956,13246,48354,39207,9147,24848,20749,4099,21826,9738,12088,18740,8064,10676,3086,1674,1412,95028,4.526347576626907,22.65423406060606,82.20022463636361
35644,STATE - WEST BENGAL,Manufacture of starches and starch products,1417,1328,89,692,656,36,725,672,53,216,136,80,146,76,70,70,60,10,1633,14.92134831460674,22.65423406060606,82.20022463636361
35645,STATE - WEST BENGAL,Manufacture of bakery products,30651,29248,1403,16416,15785,631,14235,13463,772,3796,3302,494,2691,2357,334,1105,945,160,34447,20.846756949394155,22.65423406060606,82.20022463636361
35646,STATE - WEST BENGAL,Manufacture of sugar,2266,2086,180,935,859,76,1331,1227,104,657,445,212,509,329,180,148,116,32,2923,11.588888888888889,22.65423406060606,82.20022463636361
35647,STATE - WEST BENGAL,"Manufacture of cocoa, chocolate and sugar confectionery",26726,25568,1158,17325,16637,688,9401,8931,470,3880,3064,816,2958,2381,577,922,683,239,30606,22.07944732297064,22.65423406060606,82.20022463636361
35648,STATE - WEST BENGAL,"Manufacture of macaroni, noodles, couscous and similar farinaceous",1192,853,339,479,305,174,713,548,165,207,73,134,105,36,69,102,37,65,1399,2.5162241887905603,22.65423406060606,82.20022463636361
35649,STATE - WEST BENGAL,Manufacture of prepared meals and dishes,20989,18269,2720,11689,10110,1579,9300,8159,1141,5252,3237,2015,3472,1960,1512,1780,1277,503,26241,6.716544117647059,22.65423406060606,82.20022463636361
35650,STATE - WEST BENGAL,Manufacture of other food products n.e.c.,29345,20869,8476,16786,11952,4834,12559,8917,3642,10264,3819,6445,7140,2816,4324,3124,1003,2121,39609,2.4621283624351107,22.65423406060606,82.20022463636361
35651,STATE - WEST BENGAL,Manufacture of prepared animal feeds,388,329,59,232,187,45,156,142,14,208,56,152,191,50,141,17,6,11,596,5.576271186440678,22.65423406060606,82.20022463636361
35652,STATE - WEST BENGAL,Manufacture of prepared animal feeds,388,329,59,232,187,45,156,142,14,208,56,152,191,50,141,17,6,11,596,5.576271186440678,22.65423406060606,82.20022463636361
35653,STATE - WEST BENGAL,Manufacture of beverages,4497,4157,340,1455,1286,169,3042,2871,171,655,472,183,391,274,117,264,198,66,5152,12.226470588235294,22.65423406060606,82.20022463636361
35654,STATE - WEST BENGAL,Manufacture of beverages,4497,4157,340,1455,1286,169,3042,2871,171,655,472,183,391,274,117,264,198,66,5152,12.226470588235294,22.65423406060606,82.20022463636361
35655,STATE - WEST BENGAL,"Distilling, rectifying and blending of spirits; ethyl alcohol production",815,738,77,223,190,33,592,548,44,127,71,56,64,26,38,63,45,18,942,9.584415584415584,22.65423406060606,82.20022463636361
35656,STATE - WEST BENGAL,Manufacture of wines,671,576,95,229,140,89,442,436,6,95,46,49,68,31,37,27,15,12,766,6.063157894736842,22.65423406060606,82.20022463636361
35657,STATE - WEST BENGAL,Manufacture of malt liquors and malt,311,300,11,87,85,2,224,215,9,38,27,11,24,18,6,14,9,5,349,27.272727272727277,22.65423406060606,82.20022463636361
35658,STATE - WEST BENGAL,Manufacture of soft drinks; production of mineral waters and other,2700,2543,157,916,871,45,1784,1672,112,395,328,67,235,199,36,160,129,31,3095,16.197452229299362,22.65423406060606,82.20022463636361
35659,STATE - WEST BENGAL,Manufacture of knitted and crocheted fabrics,931,669,262,511,358,153,420,311,109,491,79,412,411,57,354,80,22,58,1422,2.553435114503817,22.65423406060606,82.20022463636361
35660,STATE - WEST BENGAL,"Manufacture of made-up textile articles, except apparel",8180,6900,1280,3927,3179,748,4253,3721,532,3347,1195,2152,2495,770,1725,852,425,427,11527,5.390625,22.65423406060606,82.20022463636361
35661,STATE - WEST BENGAL,Manufacture of carpets and rugs,11732,10546,1186,2817,2259,558,8915,8287,628,2154,1070,1084,1432,596,836,722,474,248,13886,8.892074198988196,22.65423406060606,82.20022463636361
35662,STATE - WEST BENGAL,"Manufacture of cordage, rope, twine and netting",12859,10334,2525,4426,2728,1698,8433,7606,827,8130,1732,6398,7020,1222,5798,1110,510,600,20989,4.092673267326733,22.65423406060606,82.20022463636361
35663,STATE - WEST BENGAL,Manufacture of articles of fur,23643,19396,4247,8338,6898,1440,15305,12498,2807,6910,3426,3484,3658,1806,1852,3252,1620,1632,30553,4.566988462444078,22.65423406060606,82.20022463636361
35664,STATE - WEST BENGAL,Manufacture of articles of fur,23643,19396,4247,8338,6898,1440,15305,12498,2807,6910,3426,3484,3658,1806,1852,3252,1620,1632,30553,4.566988462444078,22.65423406060606,82.20022463636361
35665,STATE - WEST BENGAL,Manufacture of knitted and crocheted apparel,26852,24086,2766,10250,9600,650,16602,14486,2116,3990,2903,1087,2449,1825,624,1541,1078,463,30842,8.707881417208966,22.65423406060606,82.20022463636361
35666,STATE - WEST BENGAL,Manufacture of knitted and crocheted apparel,26852,24086,2766,10250,9600,650,16602,14486,2116,3990,2903,1087,2449,1825,624,1541,1078,463,30842,8.707881417208966,22.65423406060606,82.20022463636361
35667,STATE - WEST BENGAL,Manufacture of leather and related products,61373,56338,5035,17123,16037,1086,44250,40301,3949,8944,6904,2040,4081,3163,918,4863,3741,1122,70317,11.18927507447865,22.65423406060606,82.20022463636361
35668,STATE - WEST BENGAL,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery",28310,25610,2700,10584,9932,652,17726,15678,2048,4696,3615,1081,2707,2162,545,1989,1453,536,33006,9.485185185185186,22.65423406060606,82.20022463636361
35669,STATE - WEST BENGAL,Tanning and dressing of leather; dressing and dyeing of fur,5264,4852,412,1489,1378,111,3775,3474,301,776,557,219,442,300,142,334,257,77,6040,11.776699029126211,22.65423406060606,82.20022463636361
35670,STATE - WEST BENGAL,"Manufacture of luggage, handbags and the like, saddlery and harness",23046,20758,2288,9095,8554,541,13951,12204,1747,3920,3058,862,2265,1862,403,1655,1196,459,26966,9.072552447552448,22.65423406060606,82.20022463636361
35671,STATE - WEST BENGAL,Manufacture of footwear,33063,30728,2335,6539,6105,434,26524,24623,1901,4248,3289,959,1374,1001,373,2874,2288,586,37311,13.159743040685225,22.65423406060606,82.20022463636361
35672,STATE - WEST BENGAL,Manufacture of footwear,33063,30728,2335,6539,6105,434,26524,24623,1901,4248,3289,959,1374,1001,373,2874,2288,586,37311,13.159743040685225,22.65423406060606,82.20022463636361
35673,STATE - WEST BENGAL,Sawmilling and planing of wood,16202,15756,446,10138,9892,246,6064,5864,200,2132,1894,238,1570,1393,177,562,501,61,18334,35.327354260089685,22.65423406060606,82.20022463636361
35674,STATE - WEST BENGAL,Saw milling and planing of wood,16202,15756,446,10138,9892,246,6064,5864,200,2132,1894,238,1570,1393,177,562,501,61,18334,35.327354260089685,22.65423406060606,82.20022463636361
35675,STATE - WEST BENGAL,"Manufacture of veneer sheets; manufacture of plywood, laminboard,",9814,9308,506,6425,6155,270,3389,3153,236,1661,1341,320,1318,1078,240,343,263,80,11475,18.395256916996047,22.65423406060606,82.20022463636361
35676,STATE - WEST BENGAL,Manufacture of builders carpentry and joinery,13444,13258,186,9158,9018,140,4286,4240,46,2100,1957,143,1642,1514,128,458,443,15,15544,71.27956989247312,22.65423406060606,82.20022463636361
35677,STATE - WEST BENGAL,Manufacture of wooden containers,22111,15482,6629,18485,12522,5963,3626,2960,666,14017,4202,9815,13359,3881,9478,658,321,337,36128,2.3354955498566903,22.65423406060606,82.20022463636361
35678,STATE - WEST BENGAL,Manufacture of paper and paper products,22588,16331,6257,6502,4753,1749,16086,11578,4508,7155,2178,4977,3580,1050,2530,3575,1128,2447,29743,2.6100367588301103,22.65423406060606,82.20022463636361
35679,STATE - WEST BENGAL,Manufacture of paper and paper products,22588,16331,6257,6502,4753,1749,16086,11578,4508,7155,2178,4977,3580,1050,2530,3575,1128,2447,29743,2.6100367588301103,22.65423406060606,82.20022463636361
35680,STATE - WEST BENGAL,"Manufacture of pulp, paper and paperboard",7451,5694,1757,2169,1699,470,5282,3995,1287,2020,642,1378,1018,283,735,1002,359,643,9471,3.240751280591918,22.65423406060606,82.20022463636361
35681,STATE - WEST BENGAL,Manufacture of corrugated paper and paperboard and containers of,5331,3369,1962,1321,811,510,4010,2558,1452,2116,506,1610,954,193,761,1162,313,849,7447,1.717125382262997,22.65423406060606,82.20022463636361
35682,STATE - WEST BENGAL,Manufacture of other articles of paper and paperboard,9806,7268,2538,3012,2243,769,6794,5025,1769,3019,1030,1989,1608,574,1034,1411,456,955,12825,2.863672182821119,22.65423406060606,82.20022463636361
35683,STATE - WEST BENGAL,Printing and reproduction of recorded media,29360,27690,1670,7876,7609,267,21484,20081,1403,2794,2397,397,1289,1157,132,1505,1240,265,32154,16.580838323353294,22.65423406060606,82.20022463636361
35684,STATE - WEST BENGAL,Printing and service activities related to printing,29316,27652,1664,7858,7591,267,21458,20061,1397,2794,2397,397,1289,1157,132,1505,1240,265,32110,16.61778846153846,22.65423406060606,82.20022463636361
35685,STATE - WEST BENGAL,Printing,15004,14203,801,4102,3955,147,10902,10248,654,1322,1169,153,564,517,47,758,652,106,16326,17.73158551810237,22.65423406060606,82.20022463636361
35686,STATE - WEST BENGAL,Service activities related to printing,14312,13449,863,3756,3636,120,10556,9813,743,1472,1228,244,725,640,85,747,588,159,15784,15.584009269988412,22.65423406060606,82.20022463636361
35687,STATE - WEST BENGAL,Reproduction of recorded media,44,38,6,18,18,0,26,20,6,0,0,0,0,0,0,0,0,0,44,6.333333333333333,22.65423406060606,82.20022463636361
35688,STATE - WEST BENGAL,Reproduction of recorded media,44,38,6,18,18,0,26,20,6,0,0,0,0,0,0,0,0,0,44,6.333333333333333,22.65423406060606,82.20022463636361
35689,STATE - WEST BENGAL,Manufacture of coke and refined petroleum products,7149,6682,467,2033,1872,161,5116,4810,306,825,490,335,521,267,254,304,223,81,7974,14.308351177730191,22.65423406060606,82.20022463636361
35690,STATE - WEST BENGAL,Manufacture of coke oven products,2165,1936,229,816,718,98,1349,1218,131,413,185,228,290,111,179,123,74,49,2578,8.45414847161572,22.65423406060606,82.20022463636361
35691,STATE - WEST BENGAL,Manufacture of coke oven products,2165,1936,229,816,718,98,1349,1218,131,413,185,228,290,111,179,123,74,49,2578,8.45414847161572,22.65423406060606,82.20022463636361
