,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
48742,STATE - NCT OF DELHI,Support activities for petroleum and natural gas mining,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,22.65423406060606,82.20022463636361
48743,STATE - NCT OF DELHI,Support activities for petroleum and natural gas mining,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,22.65423406060606,82.20022463636361
48744,STATE - NCT OF DELHI,Support activities for other mining and quarrying,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,22.65423406060606,82.20022463636361
48745,STATE - NCT OF DELHI,Support activities for other mining and quarrying,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,22.65423406060606,82.20022463636361
48746,STATE - NCT OF DELHI,Manufacture of food products,5545,4530,1015,211,168,43,5334,4362,972,497,286,211,18,8,10,479,278,201,6042,4.463054187192118,22.65423406060606,82.20022463636361
48747,STATE - NCT OF DELHI,Processing and preserving of meat,70,70,0,0,0,0,70,70,0,2,2,0,0,0,0,2,2,0,72,70,22.65423406060606,82.20022463636361
48748,STATE - NCT OF DELHI,Processing and preserving of meat,70,70,0,0,0,0,70,70,0,2,2,0,0,0,0,2,2,0,72,70,22.65423406060606,82.20022463636361
48749,STATE - NCT OF DELHI,"Processing and preserving of fish, crustaceans and molluscs",6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,22.65423406060606,82.20022463636361
48750,STATE - NCT OF DELHI,"Processing and preserving of fish, crustaceans and molluscs and",6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,22.65423406060606,82.20022463636361
48751,STATE - NCT OF DELHI,Processing and preserving of fruit and vegetables,399,304,95,13,13,0,386,291,95,84,33,51,6,6,0,78,27,51,483,3.2,22.65423406060606,82.20022463636361
48752,STATE - NCT OF DELHI,Processing and preserving of fruit and vegetables,399,304,95,13,13,0,386,291,95,84,33,51,6,6,0,78,27,51,483,3.2,22.65423406060606,82.20022463636361
48753,STATE - NCT OF DELHI,Manufacture of vegetable and animal oils and fats,99,92,7,0,0,0,99,92,7,6,3,3,0,0,0,6,3,3,105,13.142857142857142,22.65423406060606,82.20022463636361
48754,STATE - NCT OF DELHI,Manufacture of vegetable and animal oils and fats,99,92,7,0,0,0,99,92,7,6,3,3,0,0,0,6,3,3,105,13.142857142857142,22.65423406060606,82.20022463636361
48755,STATE - NCT OF DELHI,Manufacture of dairy products,1183,951,232,48,24,24,1135,927,208,73,30,43,8,0,8,65,30,35,1256,4.099137931034483,22.65423406060606,82.20022463636361
48756,STATE - NCT OF DELHI,Manufacture of dairy products,1183,951,232,48,24,24,1135,927,208,73,30,43,8,0,8,65,30,35,1256,4.099137931034483,22.65423406060606,82.20022463636361
48757,STATE - NCT OF DELHI,"Manufacture of grain mill products, starches and starch products",906,686,220,37,28,9,869,658,211,51,28,23,2,0,2,49,28,21,957,3.118181818181818,22.65423406060606,82.20022463636361
48758,STATE - NCT OF DELHI,Manufacture of grain mill products,875,660,215,37,28,9,838,632,206,48,25,23,2,0,2,46,25,21,923,3.069767441860465,22.65423406060606,82.20022463636361
48759,STATE - NCT OF DELHI,Manufacture of starches and starch products,31,26,5,0,0,0,31,26,5,3,3,0,0,0,0,3,3,0,34,5.2,22.65423406060606,82.20022463636361
48760,STATE - NCT OF DELHI,Manufacture of other food products,2878,2417,461,113,103,10,2765,2314,451,281,190,91,2,2,0,279,188,91,3159,5.24295010845987,22.65423406060606,82.20022463636361
48761,STATE - NCT OF DELHI,Manufacture of bakery products,391,350,41,6,0,6,385,350,35,19,14,5,0,0,0,19,14,5,410,8.536585365853659,22.65423406060606,82.20022463636361
48762,STATE - NCT OF DELHI,Manufacture of sugar,32,29,3,0,0,0,32,29,3,3,3,0,0,0,0,3,3,0,35,9.666666666666666,22.65423406060606,82.20022463636361
48763,STATE - NCT OF DELHI,"Manufacture of cocoa, chocolate and sugar confectionery",598,548,50,39,37,2,559,511,48,43,37,6,2,2,0,41,35,6,641,10.96,22.65423406060606,82.20022463636361
48764,STATE - NCT OF DELHI,"Manufacture of macaroni, noodles, couscous and similar farinaceous",18,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,18,18,22.65423406060606,82.20022463636361
48765,STATE - NCT OF DELHI,Manufacture of prepared meals and dishes,1314,1070,244,61,59,2,1253,1011,242,166,110,56,0,0,0,166,110,56,1480,4.385245901639344,22.65423406060606,82.20022463636361
48766,STATE - NCT OF DELHI,Manufacture of other food products n.e.c.,525,402,123,7,7,0,518,395,123,50,26,24,0,0,0,50,26,24,575,3.268292682926829,22.65423406060606,82.20022463636361
48767,STATE - NCT OF DELHI,Manufacture of prepared animal feeds,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,22.65423406060606,82.20022463636361
48768,STATE - NCT OF DELHI,Manufacture of prepared animal feeds,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,22.65423406060606,82.20022463636361
48769,STATE - NCT OF DELHI,Manufacture of beverages,226,207,19,1,1,0,225,206,19,8,8,0,0,0,0,8,8,0,234,10.894736842105264,22.65423406060606,82.20022463636361
48770,STATE - NCT OF DELHI,Manufacture of beverages,226,207,19,1,1,0,225,206,19,8,8,0,0,0,0,8,8,0,234,10.894736842105264,22.65423406060606,82.20022463636361
48771,STATE - NCT OF DELHI,"Distilling, rectifying and blending of spirits; ethyl alcohol production",9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,22.65423406060606,82.20022463636361
48772,STATE - NCT OF DELHI,Manufacture of wines,26,15,11,0,0,0,26,15,11,0,0,0,0,0,0,0,0,0,26,1.3636363636363635,22.65423406060606,82.20022463636361
48773,STATE - NCT OF DELHI,Manufacture of malt liquors and malt,6,6,0,0,0,0,6,6,0,3,3,0,0,0,0,3,3,0,9,6,22.65423406060606,82.20022463636361
48774,STATE - NCT OF DELHI,Manufacture of soft drinks; production of mineral waters and other,185,177,8,1,1,0,184,176,8,5,5,0,0,0,0,5,5,0,190,22.125,22.65423406060606,82.20022463636361
48775,STATE - NCT OF DELHI,Manufacture of tobacco products,147,123,24,6,6,0,141,117,24,20,5,15,0,0,0,20,5,15,167,5.125,22.65423406060606,82.20022463636361
48776,STATE - NCT OF DELHI,Manufacture of tobacco products,147,123,24,6,6,0,141,117,24,20,5,15,0,0,0,20,5,15,167,5.125,22.65423406060606,82.20022463636361
48777,STATE - NCT OF DELHI,Manufacture of tobacco products,147,123,24,6,6,0,141,117,24,20,5,15,0,0,0,20,5,15,167,5.125,22.65423406060606,82.20022463636361
48778,STATE - NCT OF DELHI,Manufacture of textiles,6962,5777,1185,98,93,5,6864,5684,1180,830,487,343,47,14,33,783,473,310,7792,4.875105485232067,22.65423406060606,82.20022463636361
48779,STATE - NCT OF DELHI,"Spinning, weaving and finishing of textiles",2630,2280,350,28,27,1,2602,2253,349,427,303,124,34,14,20,393,289,104,3057,6.514285714285714,22.65423406060606,82.20022463636361
48780,STATE - NCT OF DELHI,Preparation and spinning of textile fibres,759,647,112,8,8,0,751,639,112,294,224,70,34,14,20,260,210,50,1053,5.776785714285714,22.65423406060606,82.20022463636361
48781,STATE - NCT OF DELHI,Weaving of textiles,734,588,146,6,6,0,728,582,146,62,29,33,0,0,0,62,29,33,796,4.027397260273973,22.65423406060606,82.20022463636361
48782,STATE - NCT OF DELHI,Finishing of textiles,1137,1045,92,14,13,1,1123,1032,91,71,50,21,0,0,0,71,50,21,1208,11.358695652173912,22.65423406060606,82.20022463636361
48783,STATE - NCT OF DELHI,Manufacture of other textiles,4332,3497,835,70,66,4,4262,3431,831,403,184,219,13,0,13,390,184,206,4735,4.188023952095809,22.65423406060606,82.20022463636361
48784,STATE - NCT OF DELHI,Manufacture of knitted and crocheted fabrics,40,24,16,0,0,0,40,24,16,0,0,0,0,0,0,0,0,0,40,1.5,22.65423406060606,82.20022463636361
48785,STATE - NCT OF DELHI,"Manufacture of made-up textile articles, except apparel",213,179,34,0,0,0,213,179,34,13,9,4,1,0,1,12,9,3,226,5.264705882352941,22.65423406060606,82.20022463636361
48786,STATE - NCT OF DELHI,Manufacture of carpets and rugs,163,149,14,30,30,0,133,119,14,6,6,0,0,0,0,6,6,0,169,10.642857142857142,22.65423406060606,82.20022463636361
48787,STATE - NCT OF DELHI,"Manufacture of cordage, rope, twine and netting",1299,843,456,23,20,3,1276,823,453,132,67,65,0,0,0,132,67,65,1431,1.848684210526316,22.65423406060606,82.20022463636361
48788,STATE - NCT OF DELHI,Manufacture of other textiles n.e.c.,2617,2302,315,17,16,1,2600,2286,314,252,102,150,12,0,12,240,102,138,2869,7.307936507936508,22.65423406060606,82.20022463636361
48789,STATE - NCT OF DELHI,Manufacture of wearing apparel,37775,33042,4733,486,406,80,37289,32636,4653,2466,1369,1097,47,16,31,2419,1353,1066,40241,6.9811958588633,22.65423406060606,82.20022463636361
48790,STATE - NCT OF DELHI,"Manufacture of wearing apparel, except fur apparel",36366,31768,4598,479,399,80,35887,31369,4518,2379,1318,1061,47,16,31,2332,1302,1030,38745,6.909090909090909,22.65423406060606,82.20022463636361
48791,STATE - NCT OF DELHI,"Manufacture of wearing apparel, except fur apparel",36366,31768,4598,479,399,80,35887,31369,4518,2379,1318,1061,47,16,31,2332,1302,1030,38745,6.909090909090909,22.65423406060606,82.20022463636361
48792,STATE - NCT OF DELHI,Manufacture of articles of fur,46,41,5,0,0,0,46,41,5,12,9,3,0,0,0,12,9,3,58,8.2,22.65423406060606,82.20022463636361
48793,STATE - NCT OF DELHI,Manufacture of articles of fur,46,41,5,0,0,0,46,41,5,12,9,3,0,0,0,12,9,3,58,8.2,22.65423406060606,82.20022463636361
48794,STATE - NCT OF DELHI,Manufacture of knitted and crocheted apparel,1363,1233,130,7,7,0,1356,1226,130,75,42,33,0,0,0,75,42,33,1438,9.484615384615385,22.65423406060606,82.20022463636361
48795,STATE - NCT OF DELHI,Manufacture of knitted and crocheted apparel,1363,1233,130,7,7,0,1356,1226,130,75,42,33,0,0,0,75,42,33,1438,9.484615384615385,22.65423406060606,82.20022463636361
48796,STATE - NCT OF DELHI,Manufacture of leather and related products,18439,17261,1178,369,318,51,18070,16943,1127,745,615,130,26,26,0,719,589,130,19184,14.652801358234296,22.65423406060606,82.20022463636361
48797,STATE - NCT OF DELHI,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery",2661,2516,145,38,35,3,2623,2481,142,160,109,51,0,0,0,160,109,51,2821,17.351724137931033,22.65423406060606,82.20022463636361
48798,STATE - NCT OF DELHI,Tanning and dressing of leather; dressing and dyeing of fur,196,166,30,0,0,0,196,166,30,24,9,15,0,0,0,24,9,15,220,5.533333333333333,22.65423406060606,82.20022463636361
48799,STATE - NCT OF DELHI,"Manufacture of luggage, handbags and the like, saddlery and harness",2465,2350,115,38,35,3,2427,2315,112,136,100,36,0,0,0,136,100,36,2601,20.43478260869565,22.65423406060606,82.20022463636361
48800,STATE - NCT OF DELHI,Manufacture of footwear,15778,14745,1033,331,283,48,15447,14462,985,585,506,79,26,26,0,559,480,79,16363,14.273959341723137,22.65423406060606,82.20022463636361
48801,STATE - NCT OF DELHI,Manufacture of footwear,15778,14745,1033,331,283,48,15447,14462,985,585,506,79,26,26,0,559,480,79,16363,14.273959341723137,22.65423406060606,82.20022463636361
48802,STATE - NCT OF DELHI,"Manufacture of wood and products of wood and cork, except furniture;",1856,1748,108,72,69,3,1784,1679,105,173,146,27,23,13,10,150,133,17,2029,16.185185185185187,22.65423406060606,82.20022463636361
48803,STATE - NCT OF DELHI,"Manufacture of products of wood, cork, straw and plaiting materials",1733,1625,108,71,68,3,1662,1557,105,159,134,25,21,13,8,138,121,17,1892,15.046296296296296,22.65423406060606,82.20022463636361
48804,STATE - NCT OF DELHI,"Manufacture of veneer sheets; manufacture of plywood, laminboard,",330,310,20,60,57,3,270,253,17,38,38,0,13,13,0,25,25,0,368,15.5,22.65423406060606,82.20022463636361
48805,STATE - NCT OF DELHI,Manufacture of builders carpentry and joinery,332,321,11,2,2,0,330,319,11,20,20,0,0,0,0,20,20,0,352,29.181818181818183,22.65423406060606,82.20022463636361
48806,STATE - NCT OF DELHI,Manufacture of wooden containers,364,327,37,3,3,0,361,324,37,43,27,16,8,0,8,35,27,8,407,8.837837837837839,22.65423406060606,82.20022463636361
48807,STATE - NCT OF DELHI,"Manufacture of other products of wood; manufacture of articles of cork,",707,667,40,6,6,0,701,661,40,58,49,9,0,0,0,58,49,9,765,16.675,22.65423406060606,82.20022463636361
48808,STATE - NCT OF DELHI,Manufacture of paper and paper products,4965,3896,1069,91,73,18,4874,3823,1051,570,233,337,9,6,3,561,227,334,5535,3.644527595884004,22.65423406060606,82.20022463636361
48809,STATE - NCT OF DELHI,Manufacture of paper and paper products,4965,3896,1069,91,73,18,4874,3823,1051,570,233,337,9,6,3,561,227,334,5535,3.644527595884004,22.65423406060606,82.20022463636361
48810,STATE - NCT OF DELHI,"Manufacture of pulp, paper and paperboard",388,341,47,1,0,1,387,341,46,9,6,3,0,0,0,9,6,3,397,7.25531914893617,22.65423406060606,82.20022463636361
48811,STATE - NCT OF DELHI,Manufacture of corrugated paper and paperboard and containers of,2433,2115,318,54,45,9,2379,2070,309,231,124,107,2,0,2,229,124,105,2664,6.650943396226415,22.65423406060606,82.20022463636361
48812,STATE - NCT OF DELHI,Manufacture of other articles of paper and paperboard,2144,1440,704,36,28,8,2108,1412,696,330,103,227,7,6,1,323,97,226,2474,2.0454545454545454,22.65423406060606,82.20022463636361
48813,STATE - NCT OF DELHI,Printing and reproduction of recorded media,6394,6177,217,41,41,0,6353,6136,217,301,267,34,1,1,0,300,266,34,6695,28.465437788018438,22.65423406060606,82.20022463636361
48814,STATE - NCT OF DELHI,Printing and service activities related to printing,6385,6168,217,41,41,0,6344,6127,217,301,267,34,1,1,0,300,266,34,6686,28.42396313364055,22.65423406060606,82.20022463636361
48815,STATE - NCT OF DELHI,Printing,1231,1199,32,13,13,0,1218,1186,32,50,45,5,0,0,0,50,45,5,1281,37.46875,22.65423406060606,82.20022463636361
48816,STATE - NCT OF DELHI,Service activities related to printing,5154,4969,185,28,28,0,5126,4941,185,251,222,29,1,1,0,250,221,29,5405,26.85945945945946,22.65423406060606,82.20022463636361
48817,STATE - NCT OF DELHI,Reproduction of recorded media,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,22.65423406060606,82.20022463636361
48818,STATE - NCT OF DELHI,Reproduction of recorded media,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,22.65423406060606,82.20022463636361
48819,STATE - NCT OF DELHI,Manufacture of coke and refined petroleum products,140,99,41,12,6,6,128,93,35,5,0,5,0,0,0,5,0,5,145,2.414634146341464,22.65423406060606,82.20022463636361
48820,STATE - NCT OF DELHI,Manufacture of coke oven products,23,17,6,0,0,0,23,17,6,0,0,0,0,0,0,0,0,0,23,2.833333333333333,22.65423406060606,82.20022463636361
48821,STATE - NCT OF DELHI,Manufacture of coke oven products,23,17,6,0,0,0,23,17,6,0,0,0,0,0,0,0,0,0,23,2.833333333333333,22.65423406060606,82.20022463636361
48822,STATE - NCT OF DELHI,Manufacture of refined petroleum products,117,82,35,12,6,6,105,76,29,5,0,5,0,0,0,5,0,5,122,2.342857142857143,22.65423406060606,82.20022463636361
