,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
76754,STATE - MAHARASHTRA,Freshwater aquaculture,24,19,5,12,9,3,12,10,2,0,0,0,0,0,0,0,0,0,24,3.8,22.65423406060606,82.20022463636361
76755,STATE - MAHARASHTRA,Mining of coal and lignite,8482,7823,659,1852,1673,179,6630,6150,480,313,281,32,117,104,13,196,177,19,8795,11.87101669195751,22.65423406060606,82.20022463636361
76756,STATE - MAHARASHTRA,Mining of hard coal,8151,7518,633,1739,1572,167,6412,5946,466,301,269,32,111,98,13,190,171,19,8452,11.876777251184834,22.65423406060606,82.20022463636361
76757,STATE - MAHARASHTRA,Mining of hard coal,8151,7518,633,1739,1572,167,6412,5946,466,301,269,32,111,98,13,190,171,19,8452,11.876777251184834,22.65423406060606,82.20022463636361
76758,STATE - MAHARASHTRA,Mining of lignite,331,305,26,113,101,12,218,204,14,12,12,0,6,6,0,6,6,0,343,11.73076923076923,22.65423406060606,82.20022463636361
76759,STATE - MAHARASHTRA,Mining of lignite,331,305,26,113,101,12,218,204,14,12,12,0,6,6,0,6,6,0,343,11.73076923076923,22.65423406060606,82.20022463636361
76760,STATE - MAHARASHTRA,Extraction of crude petroleum and natural gas,460,423,37,33,29,4,427,394,33,12,10,2,4,2,2,8,8,0,472,11.432432432432432,22.65423406060606,82.20022463636361
76761,STATE - MAHARASHTRA,Extraction of crude petroleum,212,193,19,8,8,0,204,185,19,5,5,0,0,0,0,5,5,0,217,10.157894736842104,22.65423406060606,82.20022463636361
76762,STATE - MAHARASHTRA,Extraction of crude petroleum,212,193,19,8,8,0,204,185,19,5,5,0,0,0,0,5,5,0,217,10.157894736842104,22.65423406060606,82.20022463636361
76763,STATE - MAHARASHTRA,Extraction of natural gas,248,230,18,25,21,4,223,209,14,7,5,2,4,2,2,3,3,0,255,12.77777777777778,22.65423406060606,82.20022463636361
76764,STATE - MAHARASHTRA,Extraction of natural gas,248,230,18,25,21,4,223,209,14,7,5,2,4,2,2,3,3,0,255,12.77777777777778,22.65423406060606,82.20022463636361
76765,STATE - MAHARASHTRA,Mining of metal ores,660,559,101,297,232,65,363,327,36,24,18,6,18,12,6,6,6,0,684,5.534653465346534,22.65423406060606,82.20022463636361
