,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
94817,STATE - KARNATAKA,Support activities for petroleum and natural gas mining,12,12,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,12,12,22.65423406060606,82.20022463636361
94818,STATE - KARNATAKA,Support activities for other mining and quarrying,54,42,12,54,42,12,0,0,0,0,0,0,0,0,0,0,0,0,54,3.5,22.65423406060606,82.20022463636361
94819,STATE - KARNATAKA,Support activities for other mining and quarrying,54,42,12,54,42,12,0,0,0,0,0,0,0,0,0,0,0,0,54,3.5,22.65423406060606,82.20022463636361
94820,STATE - KARNATAKA,Manufacture of food products,29430,17499,11931,18826,10743,8083,10604,6756,3848,9137,4404,4733,7145,3381,3764,1992,1023,969,38567,1.466683429720895,22.65423406060606,82.20022463636361
94821,STATE - KARNATAKA,Processing and preserving of meat,183,132,51,108,67,41,75,65,10,63,28,35,63,28,35,0,0,0,246,2.588235294117647,22.65423406060606,82.20022463636361
94822,STATE - KARNATAKA,Processing and preserving of meat,183,132,51,108,67,41,75,65,10,63,28,35,63,28,35,0,0,0,246,2.588235294117647,22.65423406060606,82.20022463636361
94823,STATE - KARNATAKA,"Processing and preserving of fish, crustaceans and molluscs",448,342,106,365,287,78,83,55,28,97,68,29,88,68,20,9,0,9,545,3.2264150943396226,22.65423406060606,82.20022463636361
94824,STATE - KARNATAKA,"Processing and preserving of fish, crustaceans and molluscs and",448,342,106,365,287,78,83,55,28,97,68,29,88,68,20,9,0,9,545,3.2264150943396226,22.65423406060606,82.20022463636361
94825,STATE - KARNATAKA,Processing and preserving of fruit and vegetables,1071,569,502,548,293,255,523,276,247,234,124,110,123,46,77,111,78,33,1305,1.1334661354581674,22.65423406060606,82.20022463636361
94826,STATE - KARNATAKA,Processing and preserving of fruit and vegetables,1071,569,502,548,293,255,523,276,247,234,124,110,123,46,77,111,78,33,1305,1.1334661354581674,22.65423406060606,82.20022463636361
94827,STATE - KARNATAKA,Manufacture of vegetable and animal oils and fats,1056,671,385,526,329,197,530,342,188,312,173,139,215,136,79,97,37,60,1368,1.7428571428571429,22.65423406060606,82.20022463636361
94828,STATE - KARNATAKA,Manufacture of vegetable and animal oils and fats,1056,671,385,526,329,197,530,342,188,312,173,139,215,136,79,97,37,60,1368,1.7428571428571429,22.65423406060606,82.20022463636361
94829,STATE - KARNATAKA,Manufacture of dairy products,3420,2317,1103,2025,1343,682,1395,974,421,1689,704,985,1340,518,822,349,186,163,5109,2.100634632819583,22.65423406060606,82.20022463636361
94830,STATE - KARNATAKA,Manufacture of dairy products,3420,2317,1103,2025,1343,682,1395,974,421,1689,704,985,1340,518,822,349,186,163,5109,2.100634632819583,22.65423406060606,82.20022463636361
94831,STATE - KARNATAKA,"Manufacture of grain mill products, starches and starch products",8928,6060,2868,5424,3644,1780,3504,2416,1088,4478,1993,2485,3850,1692,2158,628,301,327,13406,2.1129707112970717,22.65423406060606,82.20022463636361
94832,STATE - KARNATAKA,Manufacture of grain mill products,8865,6015,2850,5406,3632,1774,3459,2383,1076,4470,1993,2477,3844,1692,2152,626,301,325,13335,2.110526315789474,22.65423406060606,82.20022463636361
94833,STATE - KARNATAKA,Manufacture of starches and starch products,63,45,18,18,12,6,45,33,12,8,0,8,6,0,6,2,0,2,71,2.5,22.65423406060606,82.20022463636361
94834,STATE - KARNATAKA,Manufacture of other food products,14258,7350,6908,9798,4748,5050,4460,2602,1858,2252,1302,950,1454,881,573,798,421,377,16510,1.0639837869137232,22.65423406060606,82.20022463636361
94835,STATE - KARNATAKA,Manufacture of bakery products,1537,1299,238,765,691,74,772,608,164,218,156,62,93,75,18,125,81,44,1755,5.457983193277311,22.65423406060606,82.20022463636361
94836,STATE - KARNATAKA,Manufacture of sugar,3224,2976,248,2490,2303,187,734,673,61,586,478,108,470,388,82,116,90,26,3810,12,22.65423406060606,82.20022463636361
94837,STATE - KARNATAKA,"Manufacture of cocoa, chocolate and sugar confectionery",579,442,137,352,295,57,227,147,80,62,51,11,54,48,6,8,3,5,641,3.2262773722627736,22.65423406060606,82.20022463636361
94838,STATE - KARNATAKA,"Manufacture of macaroni, noodles, couscous and similar farinaceous",40,13,27,3,0,3,37,13,24,3,0,3,0,0,0,3,0,3,43,0.4814814814814814,22.65423406060606,82.20022463636361
94839,STATE - KARNATAKA,Manufacture of prepared meals and dishes,1555,971,584,718,448,270,837,523,314,461,247,214,221,135,86,240,112,128,2016,1.6626712328767124,22.65423406060606,82.20022463636361
94840,STATE - KARNATAKA,Manufacture of other food products n.e.c.,7323,1649,5674,5470,1011,4459,1853,638,1215,922,370,552,616,235,381,306,135,171,8245,0.2906238984843144,22.65423406060606,82.20022463636361
94841,STATE - KARNATAKA,Manufacture of prepared animal feeds,66,58,8,32,32,0,34,26,8,12,12,0,12,12,0,0,0,0,78,7.25,22.65423406060606,82.20022463636361
94842,STATE - KARNATAKA,Manufacture of prepared animal feeds,66,58,8,32,32,0,34,26,8,12,12,0,12,12,0,0,0,0,78,7.25,22.65423406060606,82.20022463636361
94843,STATE - KARNATAKA,Manufacture of beverages,1652,1081,571,942,535,407,710,546,164,158,107,51,91,51,40,67,56,11,1810,1.893169877408056,22.65423406060606,82.20022463636361
94844,STATE - KARNATAKA,Manufacture of beverages,1652,1081,571,942,535,407,710,546,164,158,107,51,91,51,40,67,56,11,1810,1.893169877408056,22.65423406060606,82.20022463636361
94845,STATE - KARNATAKA,"Distilling, rectifying and blending of spirits; ethyl alcohol production",408,218,190,272,138,134,136,80,56,22,12,10,20,10,10,2,2,0,430,1.1473684210526316,22.65423406060606,82.20022463636361
