,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
118992,STATE - TAMIL NADU,Mining of metal ores,154,132,22,58,56,2,96,76,20,15,12,3,12,12,0,3,0,3,169,6,22.65423406060606,82.20022463636361
118993,STATE - TAMIL NADU,Mining of iron ores,26,24,2,20,18,2,6,6,0,12,12,0,12,12,0,0,0,0,38,12,22.65423406060606,82.20022463636361
118994,STATE - TAMIL NADU,Mining of iron ores,26,24,2,20,18,2,6,6,0,12,12,0,12,12,0,0,0,0,38,12,22.65423406060606,82.20022463636361
118995,STATE - TAMIL NADU,Mining of non-ferrous metal ores,128,108,20,38,38,0,90,70,20,3,0,3,0,0,0,3,0,3,131,5.4,22.65423406060606,82.20022463636361
118996,STATE - TAMIL NADU,Mining of other non-ferrous metal ores,128,108,20,38,38,0,90,70,20,3,0,3,0,0,0,3,0,3,131,5.4,22.65423406060606,82.20022463636361
118997,STATE - TAMIL NADU,Other mining and quarrying,16766,11940,4826,9839,7124,2715,6927,4816,2111,2468,1523,945,1439,933,506,1029,590,439,19234,2.474098632407791,22.65423406060606,82.20022463636361
118998,STATE - TAMIL NADU,"Quarrying of stone, sand and clay",10425,8108,2317,6947,5364,1583,3478,2744,734,1253,900,353,951,676,275,302,224,78,11678,3.4993526111350883,22.65423406060606,82.20022463636361
118999,STATE - TAMIL NADU,"Quarrying of stone, sand and clay",10425,8108,2317,6947,5364,1583,3478,2744,734,1253,900,353,951,676,275,302,224,78,11678,3.4993526111350883,22.65423406060606,82.20022463636361
119000,STATE - TAMIL NADU,Mining and quarrying n.e.c.,6341,3832,2509,2892,1760,1132,3449,2072,1377,1215,623,592,488,257,231,727,366,361,7556,1.5273017138302112,22.65423406060606,82.20022463636361
119001,STATE - TAMIL NADU,Mining of chemical and fertilizer minerals,21,18,3,6,6,0,15,12,3,3,3,0,3,3,0,0,0,0,24,6,22.65423406060606,82.20022463636361
119002,STATE - TAMIL NADU,Extraction of salt,5919,3492,2427,2605,1523,1082,3314,1969,1345,1155,575,580,451,223,228,704,352,352,7074,1.438813349814586,22.65423406060606,82.20022463636361
119003,STATE - TAMIL NADU,Other mining and quarrying n.e.c.,401,322,79,281,231,50,120,91,29,57,45,12,34,31,3,23,14,9,458,4.075949367088608,22.65423406060606,82.20022463636361
119004,STATE - TAMIL NADU,Support activities for other mining and quarrying,15,15,0,12,12,0,3,3,0,3,3,0,0,0,0,3,3,0,18,15,22.65423406060606,82.20022463636361
119005,STATE - TAMIL NADU,Support activities for other mining and quarrying,15,15,0,12,12,0,3,3,0,3,3,0,0,0,0,3,3,0,18,15,22.65423406060606,82.20022463636361
119006,STATE - TAMIL NADU,Manufacture of food products,39897,24155,15742,20322,12692,7630,19575,11463,8112,9894,4331,5563,7065,3115,3950,2829,1216,1613,49791,1.5344301867615298,22.65423406060606,82.20022463636361
119007,STATE - TAMIL NADU,Processing and preserving of meat,649,442,207,343,209,134,306,233,73,91,53,38,41,26,15,50,27,23,740,2.135265700483092,22.65423406060606,82.20022463636361
119008,STATE - TAMIL NADU,Processing and preserving of meat,649,442,207,343,209,134,306,233,73,91,53,38,41,26,15,50,27,23,740,2.135265700483092,22.65423406060606,82.20022463636361
119009,STATE - TAMIL NADU,"Processing and preserving of fish, crustaceans and molluscs",1071,628,443,428,255,173,643,373,270,154,66,88,76,21,55,78,45,33,1225,1.417607223476298,22.65423406060606,82.20022463636361
119010,STATE - TAMIL NADU,"Processing and preserving of fish, crustaceans and molluscs and",1071,628,443,428,255,173,643,373,270,154,66,88,76,21,55,78,45,33,1225,1.417607223476298,22.65423406060606,82.20022463636361
119011,STATE - TAMIL NADU,Processing and preserving of fruit and vegetables,1312,787,525,712,444,268,600,343,257,326,166,160,189,108,81,137,58,79,1638,1.499047619047619,22.65423406060606,82.20022463636361
119012,STATE - TAMIL NADU,Processing and preserving of fruit and vegetables,1312,787,525,712,444,268,600,343,257,326,166,160,189,108,81,137,58,79,1638,1.499047619047619,22.65423406060606,82.20022463636361
119013,STATE - TAMIL NADU,Manufacture of vegetable and animal oils and fats,1499,1171,328,739,568,171,760,603,157,143,103,40,84,63,21,59,40,19,1642,3.5701219512195124,22.65423406060606,82.20022463636361
119014,STATE - TAMIL NADU,Manufacture of vegetable and animal oils and fats,1499,1171,328,739,568,171,760,603,157,143,103,40,84,63,21,59,40,19,1642,3.5701219512195124,22.65423406060606,82.20022463636361
119015,STATE - TAMIL NADU,Manufacture of dairy products,4379,2511,1868,2803,1571,1232,1576,940,636,1278,461,817,1008,360,648,270,101,169,5657,1.344218415417559,22.65423406060606,82.20022463636361
119016,STATE - TAMIL NADU,Manufacture of dairy products,4379,2511,1868,2803,1571,1232,1576,940,636,1278,461,817,1008,360,648,270,101,169,5657,1.344218415417559,22.65423406060606,82.20022463636361
119017,STATE - TAMIL NADU,"Manufacture of grain mill products, starches and starch products",13408,8328,5080,7068,4465,2603,6340,3863,2477,4571,2018,2553,3672,1629,2043,899,389,510,17979,1.6393700787401575,22.65423406060606,82.20022463636361
119018,STATE - TAMIL NADU,Manufacture of grain mill products,12582,7850,4732,6806,4313,2493,5776,3537,2239,4463,1938,2525,3648,1611,2037,815,327,488,17045,1.6589180050718513,22.65423406060606,82.20022463636361
119019,STATE - TAMIL NADU,Manufacture of starches and starch products,826,478,348,262,152,110,564,326,238,108,80,28,24,18,6,84,62,22,934,1.3735632183908046,22.65423406060606,82.20022463636361
