,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
31663,STATE - MIZORAM,"Processing and preserving of fish, crustaceans and molluscs and",1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,2,1,22.65423406060606,82.20022463636361
31664,STATE - MIZORAM,Processing and preserving of fruit and vegetables,81,43,38,15,10,5,66,33,33,30,21,9,3,2,1,27,19,8,111,1.131578947368421,22.65423406060606,82.20022463636361
31665,STATE - MIZORAM,Processing and preserving of fruit and vegetables,81,43,38,15,10,5,66,33,33,30,21,9,3,2,1,27,19,8,111,1.131578947368421,22.65423406060606,82.20022463636361
31666,STATE - MIZORAM,Manufacture of vegetable and animal oils and fats,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,22.65423406060606,82.20022463636361
31667,STATE - MIZORAM,Manufacture of vegetable and animal oils and fats,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,22.65423406060606,82.20022463636361
31668,STATE - MIZORAM,Manufacture of dairy products,166,104,62,18,12,6,148,92,56,53,17,36,4,1,3,49,16,33,219,1.6774193548387095,22.65423406060606,82.20022463636361
31669,STATE - MIZORAM,Manufacture of dairy products,166,104,62,18,12,6,148,92,56,53,17,36,4,1,3,49,16,33,219,1.6774193548387095,22.65423406060606,82.20022463636361
31670,STATE - MIZORAM,"Manufacture of grain mill products, starches and starch products",177,126,51,80,46,34,97,80,17,40,21,19,21,12,9,19,9,10,217,2.4705882352941178,22.65423406060606,82.20022463636361
31671,STATE - MIZORAM,Manufacture of grain mill products,175,126,49,78,46,32,97,80,17,40,21,19,21,12,9,19,9,10,215,2.571428571428572,22.65423406060606,82.20022463636361
31672,STATE - MIZORAM,Manufacture of starches and starch products,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22.65423406060606,82.20022463636361
31673,STATE - MIZORAM,Manufacture of other food products,785,424,361,108,64,44,677,360,317,208,48,160,50,10,40,158,38,120,993,1.1745152354570638,22.65423406060606,82.20022463636361
31674,STATE - MIZORAM,Manufacture of bakery products,360,270,90,28,23,5,332,247,85,20,6,14,1,0,1,19,6,13,380,3,22.65423406060606,82.20022463636361
31675,STATE - MIZORAM,Manufacture of sugar,4,4,0,2,2,0,2,2,0,3,1,2,1,1,0,2,0,2,7,4,22.65423406060606,82.20022463636361
31676,STATE - MIZORAM,"Manufacture of cocoa, chocolate and sugar confectionery",8,3,5,1,0,1,7,3,4,7,0,7,1,0,1,6,0,6,15,0.6,22.65423406060606,82.20022463636361
31677,STATE - MIZORAM,"Manufacture of macaroni, noodles, couscous and similar farinaceous",91,47,44,18,13,5,73,34,39,5,2,3,3,0,3,2,2,0,96,1.068181818181818,22.65423406060606,82.20022463636361
31678,STATE - MIZORAM,Manufacture of prepared meals and dishes,208,65,143,32,15,17,176,50,126,125,24,101,33,8,25,92,16,76,333,0.4545454545454545,22.65423406060606,82.20022463636361
31679,STATE - MIZORAM,Manufacture of other food products n.e.c.,114,35,79,27,11,16,87,24,63,48,15,33,11,1,10,37,14,23,162,0.4430379746835443,22.65423406060606,82.20022463636361
31680,STATE - MIZORAM,Manufacture of beverages,9,6,3,3,3,0,6,3,3,4,2,2,0,0,0,4,2,2,13,2,22.65423406060606,82.20022463636361
31681,STATE - MIZORAM,Manufacture of beverages,9,6,3,3,3,0,6,3,3,4,2,2,0,0,0,4,2,2,13,2,22.65423406060606,82.20022463636361
31682,STATE - MIZORAM,"Distilling, rectifying and blending of spirits; ethyl alcohol production",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,22.65423406060606,82.20022463636361
31683,STATE - MIZORAM,Manufacture of wines,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,3,0.5,22.65423406060606,82.20022463636361
31684,STATE - MIZORAM,Manufacture of malt liquors and malt,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,22.65423406060606,82.20022463636361
31685,STATE - MIZORAM,Manufacture of soft drinks; production of mineral waters and other,4,4,0,3,3,0,1,1,0,4,2,2,0,0,0,4,2,2,8,4,22.65423406060606,82.20022463636361
31686,STATE - MIZORAM,Manufacture of tobacco products,30,15,15,3,0,3,27,15,12,17,0,17,2,0,2,15,0,15,47,1,22.65423406060606,82.20022463636361
31687,STATE - MIZORAM,Manufacture of tobacco products,30,15,15,3,0,3,27,15,12,17,0,17,2,0,2,15,0,15,47,1,22.65423406060606,82.20022463636361
31688,STATE - MIZORAM,Manufacture of tobacco products,30,15,15,3,0,3,27,15,12,17,0,17,2,0,2,15,0,15,47,1,22.65423406060606,82.20022463636361
31689,STATE - MIZORAM,Manufacture of textiles,1901,607,1294,68,40,28,1833,567,1266,461,132,329,52,9,43,409,123,286,2362,0.4690880989180834,22.65423406060606,82.20022463636361
31690,STATE - MIZORAM,"Spinning, weaving and finishing of textiles",1850,589,1261,63,39,24,1787,550,1237,435,132,303,48,9,39,387,123,264,2285,0.4670896114195083,22.65423406060606,82.20022463636361
31691,STATE - MIZORAM,Preparation and spinning of textile fibres,426,234,192,41,33,8,385,201,184,175,117,58,11,8,3,164,109,55,601,1.21875,22.65423406060606,82.20022463636361
31692,STATE - MIZORAM,Weaving of textiles,846,200,646,11,1,10,835,199,636,163,9,154,30,0,30,133,9,124,1009,0.3095975232198142,22.65423406060606,82.20022463636361
31693,STATE - MIZORAM,Finishing of textiles,578,155,423,11,5,6,567,150,417,97,6,91,7,1,6,90,5,85,675,0.3664302600472813,22.65423406060606,82.20022463636361
31694,STATE - MIZORAM,Manufacture of other textiles,51,18,33,5,1,4,46,17,29,26,0,26,4,0,4,22,0,22,77,0.5454545454545454,22.65423406060606,82.20022463636361
31695,STATE - MIZORAM,Manufacture of knitted and crocheted fabrics,10,2,8,0,0,0,10,2,8,11,0,11,2,0,2,9,0,9,21,0.25,22.65423406060606,82.20022463636361
31696,STATE - MIZORAM,"Manufacture of made-up textile articles, except apparel",11,8,3,2,1,1,9,7,2,3,0,3,0,0,0,3,0,3,14,2.6666666666666665,22.65423406060606,82.20022463636361
31697,STATE - MIZORAM,Manufacture of carpets and rugs,2,2,0,0,0,0,2,2,0,2,0,2,0,0,0,2,0,2,4,2,22.65423406060606,82.20022463636361
31698,STATE - MIZORAM,"Manufacture of cordage, rope, twine and netting",2,0,2,0,0,0,2,0,2,2,0,2,0,0,0,2,0,2,4,0,22.65423406060606,82.20022463636361
31699,STATE - MIZORAM,Manufacture of other textiles n.e.c.,26,6,20,3,0,3,23,6,17,8,0,8,2,0,2,6,0,6,34,0.3,22.65423406060606,82.20022463636361
31700,STATE - MIZORAM,Manufacture of wearing apparel,2307,480,1827,221,54,167,2086,426,1660,652,47,605,90,12,78,562,35,527,2959,0.2627257799671593,22.65423406060606,82.20022463636361
31701,STATE - MIZORAM,"Manufacture of wearing apparel, except fur apparel",2278,477,1801,220,54,166,2058,423,1635,649,47,602,90,12,78,559,35,524,2927,0.2648528595224875,22.65423406060606,82.20022463636361
31702,STATE - MIZORAM,"Manufacture of wearing apparel, except fur apparel",2278,477,1801,220,54,166,2058,423,1635,649,47,602,90,12,78,559,35,524,2927,0.2648528595224875,22.65423406060606,82.20022463636361
31703,STATE - MIZORAM,Manufacture of articles of fur,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,22.65423406060606,82.20022463636361
31704,STATE - MIZORAM,Manufacture of articles of fur,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,22.65423406060606,82.20022463636361
31705,STATE - MIZORAM,Manufacture of knitted and crocheted apparel,27,3,24,1,0,1,26,3,23,3,0,3,0,0,0,3,0,3,30,0.125,22.65423406060606,82.20022463636361
31706,STATE - MIZORAM,Manufacture of knitted and crocheted apparel,27,3,24,1,0,1,26,3,23,3,0,3,0,0,0,3,0,3,30,0.125,22.65423406060606,82.20022463636361
31707,STATE - MIZORAM,Manufacture of leather and related products,149,74,75,7,5,2,142,69,73,36,13,23,5,4,1,31,9,22,185,0.9866666666666668,22.65423406060606,82.20022463636361
31708,STATE - MIZORAM,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery",32,28,4,0,0,0,32,28,4,0,0,0,0,0,0,0,0,0,32,7,22.65423406060606,82.20022463636361
31709,STATE - MIZORAM,Tanning and dressing of leather; dressing and dyeing of fur,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,22.65423406060606,82.20022463636361
