,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
75,STATE - RAJASTHAN,Manufacture of vegetable and animal oils and fats,10907,10243,664,5826,5427,399,5081,4816,265,1576,1228,348,1112,840,272,464,388,76,12483,15.426204819277109,22.65423406060606,82.20022463636361
76,STATE - RAJASTHAN,"Manufacture of grain mill products, starches and starch products",40938,36041,4897,24469,21058,3411,16469,14983,1486,9741,4353,5388,8154,3427,4727,1587,926,661,50679,7.359812129875434,22.65423406060606,82.20022463636361
77,STATE - RAJASTHAN,Manufacture of grain mill products,40607,35762,4845,24305,20904,3401,16302,14858,1444,9730,4345,5385,8143,3419,4724,1587,926,661,50337,7.381217750257998,22.65423406060606,82.20022463636361
78,STATE - RAJASTHAN,Manufacture of starches and starch products,331,279,52,164,154,10,167,125,42,11,8,3,11,8,3,0,0,0,342,5.365384615384615,22.65423406060606,82.20022463636361
79,STATE - RAJASTHAN,Manufacture of other food products,93609,78987,14622,41101,36470,4631,52508,42517,9991,22397,11889,10508,12686,7436,5250,9711,4453,5258,116006,5.401928600738613,22.65423406060606,82.20022463636361
80,STATE - RAJASTHAN,Manufacture of bakery products,6351,5072,1279,1600,1366,234,4751,3706,1045,1308,532,776,725,303,422,583,229,354,7659,3.965598123534011,22.65423406060606,82.20022463636361
81,STATE - RAJASTHAN,Manufacture of sugar,1383,1293,90,396,382,14,987,911,76,108,95,13,64,56,8,44,39,5,1491,14.366666666666667,22.65423406060606,82.20022463636361
82,STATE - RAJASTHAN,"Manufacture of cocoa, chocolate and sugar confectionery",35635,34471,1164,19103,18660,443,16532,15811,721,7032,6442,590,4361,4121,240,2671,2321,350,42667,29.61426116838488,22.65423406060606,82.20022463636361
83,STATE - RAJASTHAN,"Manufacture of macaroni, noodles, couscous and similar farinaceous",52,38,14,12,6,6,40,32,8,26,6,20,14,0,14,12,6,6,78,2.7142857142857144,22.65423406060606,82.20022463636361
84,STATE - RAJASTHAN,Manufacture of prepared meals and dishes,28511,24240,4271,13013,10558,2455,15498,13682,1816,6344,2665,3679,4637,1710,2927,1707,955,752,34855,5.675485834699134,22.65423406060606,82.20022463636361
