,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
26890,STATE - MANIPUR,Mining of hard coal,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,22.65423406060606,82.20022463636361
26891,STATE - MANIPUR,Mining of lignite,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,22.65423406060606,82.20022463636361
26892,STATE - MANIPUR,Mining of lignite,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,22.65423406060606,82.20022463636361
26893,STATE - MANIPUR,Extraction of crude petroleum and natural gas,97,69,28,78,56,22,19,13,6,2,2,0,2,2,0,0,0,0,99,2.4642857142857144,22.65423406060606,82.20022463636361
26894,STATE - MANIPUR,Extraction of crude petroleum,97,69,28,78,56,22,19,13,6,2,2,0,2,2,0,0,0,0,99,2.4642857142857144,22.65423406060606,82.20022463636361
26895,STATE - MANIPUR,Extraction of crude petroleum,97,69,28,78,56,22,19,13,6,2,2,0,2,2,0,0,0,0,99,2.4642857142857144,22.65423406060606,82.20022463636361
26896,STATE - MANIPUR,Other mining and quarrying,1368,660,708,1099,532,567,269,128,141,328,151,177,280,129,151,48,22,26,1696,0.9322033898305084,22.65423406060606,82.20022463636361
26897,STATE - MANIPUR,"Quarrying of stone, sand and clay",932,443,489,723,347,376,209,96,113,205,102,103,176,81,95,29,21,8,1137,0.9059304703476484,22.65423406060606,82.20022463636361
26898,STATE - MANIPUR,"Quarrying of stone, sand and clay",932,443,489,723,347,376,209,96,113,205,102,103,176,81,95,29,21,8,1137,0.9059304703476484,22.65423406060606,82.20022463636361
26899,STATE - MANIPUR,Mining and quarrying n.e.c.,436,217,219,376,185,191,60,32,28,123,49,74,104,48,56,19,1,18,559,0.9908675799086758,22.65423406060606,82.20022463636361
26900,STATE - MANIPUR,Other mining and quarrying n.e.c.,436,217,219,376,185,191,60,32,28,123,49,74,104,48,56,19,1,18,559,0.9908675799086758,22.65423406060606,82.20022463636361
26901,STATE - MANIPUR,Mining support service activities,57,47,10,40,32,8,17,15,2,4,2,2,2,2,0,2,0,2,61,4.7,22.65423406060606,82.20022463636361
26902,STATE - MANIPUR,Support activities for petroleum and natural gas mining,36,34,2,32,30,2,4,4,0,0,0,0,0,0,0,0,0,0,36,17,22.65423406060606,82.20022463636361
26903,STATE - MANIPUR,Support activities for petroleum and natural gas mining,36,34,2,32,30,2,4,4,0,0,0,0,0,0,0,0,0,0,36,17,22.65423406060606,82.20022463636361
26904,STATE - MANIPUR,Support activities for other mining and quarrying,21,13,8,8,2,6,13,11,2,4,2,2,2,2,0,2,0,2,25,1.625,22.65423406060606,82.20022463636361
26905,STATE - MANIPUR,Support activities for other mining and quarrying,21,13,8,8,2,6,13,11,2,4,2,2,2,2,0,2,0,2,25,1.625,22.65423406060606,82.20022463636361
26906,STATE - MANIPUR,Manufacture of food products,5492,2991,2501,2850,1550,1300,2642,1441,1201,3394,1124,2270,2118,623,1495,1276,501,775,8886,1.195921631347461,22.65423406060606,82.20022463636361
26907,STATE - MANIPUR,Processing and preserving of meat,337,199,138,157,84,73,180,115,65,259,113,146,157,69,88,102,44,58,596,1.4420289855072463,22.65423406060606,82.20022463636361
26908,STATE - MANIPUR,Processing and preserving of meat,337,199,138,157,84,73,180,115,65,259,113,146,157,69,88,102,44,58,596,1.4420289855072463,22.65423406060606,82.20022463636361
26909,STATE - MANIPUR,"Processing and preserving of fish, crustaceans and molluscs",162,129,33,106,86,20,56,43,13,170,71,99,139,53,86,31,18,13,332,3.909090909090909,22.65423406060606,82.20022463636361
26910,STATE - MANIPUR,"Processing and preserving of fish, crustaceans and molluscs and",162,129,33,106,86,20,56,43,13,170,71,99,139,53,86,31,18,13,332,3.909090909090909,22.65423406060606,82.20022463636361
26911,STATE - MANIPUR,Processing and preserving of fruit and vegetables,596,267,329,318,148,170,278,119,159,688,176,512,459,96,363,229,80,149,1284,0.8115501519756839,22.65423406060606,82.20022463636361
26912,STATE - MANIPUR,Processing and preserving of fruit and vegetables,596,267,329,318,148,170,278,119,159,688,176,512,459,96,363,229,80,149,1284,0.8115501519756839,22.65423406060606,82.20022463636361
26913,STATE - MANIPUR,Manufacture of vegetable and animal oils and fats,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,22.65423406060606,82.20022463636361
26914,STATE - MANIPUR,Manufacture of vegetable and animal oils and fats,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,22.65423406060606,82.20022463636361
26915,STATE - MANIPUR,Manufacture of dairy products,340,200,140,213,110,103,127,90,37,293,129,164,165,86,79,128,43,85,633,1.4285714285714286,22.65423406060606,82.20022463636361
26916,STATE - MANIPUR,Manufacture of dairy products,340,200,140,213,110,103,127,90,37,293,129,164,165,86,79,128,43,85,633,1.4285714285714286,22.65423406060606,82.20022463636361
26917,STATE - MANIPUR,"Manufacture of grain mill products, starches and starch products",2071,1359,712,1410,872,538,661,487,174,678,321,357,499,210,289,179,111,68,2749,1.9087078651685396,22.65423406060606,82.20022463636361
26918,STATE - MANIPUR,Manufacture of grain mill products,2049,1337,712,1406,868,538,643,469,174,678,321,357,499,210,289,179,111,68,2727,1.877808988764045,22.65423406060606,82.20022463636361
26919,STATE - MANIPUR,Manufacture of starches and starch products,22,22,0,4,4,0,18,18,0,0,0,0,0,0,0,0,0,0,22,22,22.65423406060606,82.20022463636361
26920,STATE - MANIPUR,Manufacture of other food products,1986,837,1149,646,250,396,1340,587,753,1305,314,991,698,109,589,607,205,402,3291,0.7284595300261096,22.65423406060606,82.20022463636361
26921,STATE - MANIPUR,Manufacture of bakery products,252,146,106,46,28,18,206,118,88,61,14,47,27,5,22,34,9,25,313,1.3773584905660377,22.65423406060606,82.20022463636361
26922,STATE - MANIPUR,Manufacture of sugar,49,13,36,16,8,8,33,5,28,17,9,8,12,6,6,5,3,2,66,0.3611111111111111,22.65423406060606,82.20022463636361
26923,STATE - MANIPUR,"Manufacture of cocoa, chocolate and sugar confectionery",41,16,25,0,0,0,41,16,25,16,9,7,3,0,3,13,9,4,57,0.64,22.65423406060606,82.20022463636361
26924,STATE - MANIPUR,"Manufacture of macaroni, noodles, couscous and similar farinaceous",16,6,10,9,1,8,7,5,2,6,0,6,6,0,6,0,0,0,22,0.6,22.65423406060606,82.20022463636361
26925,STATE - MANIPUR,Manufacture of prepared meals and dishes,1184,440,744,426,139,287,758,301,457,996,211,785,536,66,470,460,145,315,2180,0.5913978494623656,22.65423406060606,82.20022463636361
26926,STATE - MANIPUR,Manufacture of other food products n.e.c.,444,216,228,149,74,75,295,142,153,209,71,138,114,32,82,95,39,56,653,0.9473684210526316,22.65423406060606,82.20022463636361
26927,STATE - MANIPUR,Manufacture of beverages,270,42,228,100,28,72,170,14,156,60,2,58,4,0,4,56,2,54,330,0.1842105263157894,22.65423406060606,82.20022463636361
26928,STATE - MANIPUR,Manufacture of beverages,270,42,228,100,28,72,170,14,156,60,2,58,4,0,4,56,2,54,330,0.1842105263157894,22.65423406060606,82.20022463636361
26929,STATE - MANIPUR,"Distilling, rectifying and blending of spirits; ethyl alcohol production",75,14,61,40,12,28,35,2,33,6,0,6,0,0,0,6,0,6,81,0.2295081967213114,22.65423406060606,82.20022463636361
26930,STATE - MANIPUR,Manufacture of wines,83,9,74,8,6,2,75,3,72,8,0,8,2,0,2,6,0,6,91,0.1216216216216216,22.65423406060606,82.20022463636361
26931,STATE - MANIPUR,Manufacture of malt liquors and malt,89,7,82,38,6,32,51,1,50,18,0,18,0,0,0,18,0,18,107,0.0853658536585365,22.65423406060606,82.20022463636361
26932,STATE - MANIPUR,Manufacture of soft drinks; production of mineral waters and other,23,12,11,14,4,10,9,8,1,28,2,26,2,0,2,26,2,24,51,1.0909090909090908,22.65423406060606,82.20022463636361
26933,STATE - MANIPUR,Manufacture of tobacco products,56,9,47,19,2,17,37,7,30,39,8,31,28,6,22,11,2,9,95,0.1914893617021276,22.65423406060606,82.20022463636361
26934,STATE - MANIPUR,Manufacture of tobacco products,56,9,47,19,2,17,37,7,30,39,8,31,28,6,22,11,2,9,95,0.1914893617021276,22.65423406060606,82.20022463636361
26935,STATE - MANIPUR,Manufacture of tobacco products,56,9,47,19,2,17,37,7,30,39,8,31,28,6,22,11,2,9,95,0.1914893617021276,22.65423406060606,82.20022463636361
