,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
20380,STATE - ARUNACHAL PRADESH,Freshwater aquaculture,32,30,2,22,21,1,10,9,1,7,6,1,7,6,1,0,0,0,39,15,22.65423406060606,82.20022463636361
20381,STATE - ARUNACHAL PRADESH,Mining of coal and lignite,63,57,6,48,47,1,15,10,5,13,5,8,13,5,8,0,0,0,76,9.5,22.65423406060606,82.20022463636361
20382,STATE - ARUNACHAL PRADESH,Mining of hard coal,61,55,6,47,46,1,14,9,5,13,5,8,13,5,8,0,0,0,74,9.166666666666666,22.65423406060606,82.20022463636361
20383,STATE - ARUNACHAL PRADESH,Mining of hard coal,61,55,6,47,46,1,14,9,5,13,5,8,13,5,8,0,0,0,74,9.166666666666666,22.65423406060606,82.20022463636361
20384,STATE - ARUNACHAL PRADESH,Mining of lignite,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,22.65423406060606,82.20022463636361
20385,STATE - ARUNACHAL PRADESH,Mining of lignite,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,22.65423406060606,82.20022463636361
20386,STATE - ARUNACHAL PRADESH,Extraction of crude petroleum and natural gas,114,108,6,83,77,6,31,31,0,1,0,1,0,0,0,1,0,1,115,18,22.65423406060606,82.20022463636361
20387,STATE - ARUNACHAL PRADESH,Extraction of crude petroleum,108,102,6,79,73,6,29,29,0,1,0,1,0,0,0,1,0,1,109,17,22.65423406060606,82.20022463636361
20388,STATE - ARUNACHAL PRADESH,Extraction of crude petroleum,108,102,6,79,73,6,29,29,0,1,0,1,0,0,0,1,0,1,109,17,22.65423406060606,82.20022463636361
20389,STATE - ARUNACHAL PRADESH,Extraction of natural gas,6,6,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,6,6,22.65423406060606,82.20022463636361
20390,STATE - ARUNACHAL PRADESH,Extraction of natural gas,6,6,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,6,6,22.65423406060606,82.20022463636361
20391,STATE - ARUNACHAL PRADESH,Mining of metal ores,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,22.65423406060606,82.20022463636361
20392,STATE - ARUNACHAL PRADESH,Mining of non-ferrous metal ores,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,22.65423406060606,82.20022463636361
20393,STATE - ARUNACHAL PRADESH,Mining of other non-ferrous metal ores,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,22.65423406060606,82.20022463636361
20394,STATE - ARUNACHAL PRADESH,Other mining and quarrying,680,573,107,567,484,83,113,89,24,98,48,50,77,37,40,21,11,10,778,5.355140186915888,22.65423406060606,82.20022463636361
20395,STATE - ARUNACHAL PRADESH,"Quarrying of stone, sand and clay",590,500,90,497,428,69,93,72,21,91,42,49,72,32,40,19,10,9,681,5.555555555555555,22.65423406060606,82.20022463636361
20396,STATE - ARUNACHAL PRADESH,"Quarrying of stone, sand and clay",590,500,90,497,428,69,93,72,21,91,42,49,72,32,40,19,10,9,681,5.555555555555555,22.65423406060606,82.20022463636361
