,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
179588,STATE - ODISHA,Manufacture of vegetable and animal oils and fats,129,110,19,123,106,17,6,4,2,29,16,13,29,16,13,0,0,0,158,5.789473684210527,22.65423406060606,82.20022463636361
179589,STATE - ODISHA,Manufacture of dairy products,651,424,227,544,351,193,107,73,34,1014,513,501,981,498,483,33,15,18,1665,1.86784140969163,22.65423406060606,82.20022463636361
179590,STATE - ODISHA,Manufacture of dairy products,651,424,227,544,351,193,107,73,34,1014,513,501,981,498,483,33,15,18,1665,1.86784140969163,22.65423406060606,82.20022463636361
179591,STATE - ODISHA,"Manufacture of grain mill products, starches and starch products",4913,3816,1097,4023,3131,892,890,685,205,4095,1884,2211,3748,1698,2050,347,186,161,9008,3.478577939835916,22.65423406060606,82.20022463636361
179592,STATE - ODISHA,Manufacture of grain mill products,4907,3810,1097,4017,3125,892,890,685,205,4092,1881,2211,3745,1695,2050,347,186,161,8999,3.4731084776663628,22.65423406060606,82.20022463636361
179593,STATE - ODISHA,Manufacture of starches and starch products,6,6,0,6,6,0,0,0,0,3,3,0,3,3,0,0,0,0,9,6,22.65423406060606,82.20022463636361
179594,STATE - ODISHA,Manufacture of other food products,2949,1658,1291,2360,1329,1031,589,329,260,1696,578,1118,1568,500,1068,128,78,50,4645,1.2842757552285051,22.65423406060606,82.20022463636361
179595,STATE - ODISHA,Manufacture of bakery products,223,191,32,131,109,22,92,82,10,55,43,12,43,31,12,12,12,0,278,5.96875,22.65423406060606,82.20022463636361
179596,STATE - ODISHA,Manufacture of sugar,49,41,8,43,35,8,6,6,0,28,20,8,28,20,8,0,0,0,77,5.125,22.65423406060606,82.20022463636361
179597,STATE - ODISHA,"Manufacture of cocoa, chocolate and sugar confectionery",176,154,22,145,125,20,31,29,2,80,59,21,66,48,18,14,11,3,256,7,22.65423406060606,82.20022463636361
179598,STATE - ODISHA,"Manufacture of macaroni, noodles, couscous and similar farinaceous",6,2,4,4,2,2,2,0,2,2,0,2,2,0,2,0,0,0,8,0.5,22.65423406060606,82.20022463636361
179599,STATE - ODISHA,Manufacture of prepared meals and dishes,633,493,140,545,435,110,88,58,30,401,192,209,347,156,191,54,36,18,1034,3.521428571428572,22.65423406060606,82.20022463636361
179600,STATE - ODISHA,Manufacture of other food products n.e.c.,1862,777,1085,1492,623,869,370,154,216,1130,264,866,1082,245,837,48,19,29,2992,0.7161290322580646,22.65423406060606,82.20022463636361
179601,STATE - ODISHA,Manufacture of prepared animal feeds,28,26,2,24,22,2,4,4,0,28,13,15,26,13,13,2,0,2,56,13,22.65423406060606,82.20022463636361
179602,STATE - ODISHA,Manufacture of prepared animal feeds,28,26,2,24,22,2,4,4,0,28,13,15,26,13,13,2,0,2,56,13,22.65423406060606,82.20022463636361
179603,STATE - ODISHA,Manufacture of beverages,691,291,400,468,226,242,223,65,158,356,83,273,308,75,233,48,8,40,1047,0.7275,22.65423406060606,82.20022463636361
179604,STATE - ODISHA,Manufacture of beverages,691,291,400,468,226,242,223,65,158,356,83,273,308,75,233,48,8,40,1047,0.7275,22.65423406060606,82.20022463636361
179605,STATE - ODISHA,"Distilling, rectifying and blending of spirits; ethyl alcohol production",404,112,292,252,80,172,152,32,120,208,31,177,182,27,155,26,4,22,612,0.3835616438356164,22.65423406060606,82.20022463636361
179606,STATE - ODISHA,Manufacture of wines,104,66,38,75,55,20,29,11,18,64,12,52,54,12,42,10,0,10,168,1.736842105263158,22.65423406060606,82.20022463636361
179607,STATE - ODISHA,Manufacture of malt liquors and malt,36,8,28,30,8,22,6,0,6,39,8,31,35,8,27,4,0,4,75,0.2857142857142857,22.65423406060606,82.20022463636361
179608,STATE - ODISHA,Manufacture of soft drinks; production of mineral waters and other,147,105,42,111,83,28,36,22,14,45,32,13,37,28,9,8,4,4,192,2.5,22.65423406060606,82.20022463636361
179609,STATE - ODISHA,Manufacture of tobacco products,14569,1238,13331,13254,966,12288,1315,272,1043,13149,647,12502,12132,561,11571,1017,86,931,27718,0.0928662515940289,22.65423406060606,82.20022463636361
179610,STATE - ODISHA,Manufacture of tobacco products,14569,1238,13331,13254,966,12288,1315,272,1043,13149,647,12502,12132,561,11571,1017,86,931,27718,0.0928662515940289,22.65423406060606,82.20022463636361
179611,STATE - ODISHA,Manufacture of tobacco products,14569,1238,13331,13254,966,12288,1315,272,1043,13149,647,12502,12132,561,11571,1017,86,931,27718,0.0928662515940289,22.65423406060606,82.20022463636361
179612,STATE - ODISHA,Manufacture of textiles,9104,6628,2476,7899,5761,2138,1205,867,338,8128,4307,3821,7373,3870,3503,755,437,318,17232,2.6768982229402263,22.65423406060606,82.20022463636361
179613,STATE - ODISHA,"Spinning, weaving and finishing of textiles",8497,6202,2295,7406,5397,2009,1091,805,286,7388,4105,3283,6641,3672,2969,747,433,314,15885,2.70239651416122,22.65423406060606,82.20022463636361
179614,STATE - ODISHA,Preparation and spinning of textile fibres,5662,4133,1529,4748,3475,1273,914,658,256,6603,3746,2857,5924,3347,2577,679,399,280,12265,2.703073904512753,22.65423406060606,82.20022463636361
179615,STATE - ODISHA,Weaving of textiles,2693,1971,722,2552,1852,700,141,119,22,725,323,402,669,291,378,56,32,24,3418,2.729916897506925,22.65423406060606,82.20022463636361
179616,STATE - ODISHA,Finishing of textiles,142,98,44,106,70,36,36,28,8,60,36,24,48,34,14,12,2,10,202,2.227272727272727,22.65423406060606,82.20022463636361
179617,STATE - ODISHA,Manufacture of other textiles,607,426,181,493,364,129,114,62,52,740,202,538,732,198,534,8,4,4,1347,2.3535911602209945,22.65423406060606,82.20022463636361
179618,STATE - ODISHA,Manufacture of knitted and crocheted fabrics,4,2,2,2,2,0,2,0,2,12,2,10,12,2,10,0,0,0,16,1,22.65423406060606,82.20022463636361
179619,STATE - ODISHA,"Manufacture of made-up textile articles, except apparel",16,16,0,12,12,0,4,4,0,5,4,1,5,4,1,0,0,0,21,16,22.65423406060606,82.20022463636361
179620,STATE - ODISHA,Manufacture of carpets and rugs,50,46,4,46,44,2,4,2,2,22,14,8,22,14,8,0,0,0,72,11.5,22.65423406060606,82.20022463636361
179621,STATE - ODISHA,"Manufacture of cordage, rope, twine and netting",455,298,157,369,256,113,86,42,44,673,162,511,669,162,507,4,0,4,1128,1.8980891719745223,22.65423406060606,82.20022463636361
179622,STATE - ODISHA,Manufacture of other textiles n.e.c.,82,64,18,64,50,14,18,14,4,28,20,8,24,16,8,4,4,0,110,3.555555555555556,22.65423406060606,82.20022463636361
179623,STATE - ODISHA,Manufacture of wearing apparel,3406,2444,962,2454,1902,552,952,542,410,1403,598,805,1092,502,590,311,96,215,4809,2.5405405405405403,22.65423406060606,82.20022463636361
179624,STATE - ODISHA,"Manufacture of wearing apparel, except fur apparel",3362,2406,956,2440,1888,552,922,518,404,1367,588,779,1084,500,584,283,88,195,4729,2.51673640167364,22.65423406060606,82.20022463636361
179625,STATE - ODISHA,"Manufacture of wearing apparel, except fur apparel",3362,2406,956,2440,1888,552,922,518,404,1367,588,779,1084,500,584,283,88,195,4729,2.51673640167364,22.65423406060606,82.20022463636361
179626,STATE - ODISHA,Manufacture of articles of fur,44,38,6,14,14,0,30,24,6,36,10,26,8,2,6,28,8,20,80,6.333333333333333,22.65423406060606,82.20022463636361
179627,STATE - ODISHA,Manufacture of articles of fur,44,38,6,14,14,0,30,24,6,36,10,26,8,2,6,28,8,20,80,6.333333333333333,22.65423406060606,82.20022463636361
179628,STATE - ODISHA,Manufacture of leather and related products,101,83,18,69,55,14,32,28,4,39,32,7,25,18,7,14,14,0,140,4.611111111111111,22.65423406060606,82.20022463636361
179629,STATE - ODISHA,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery",4,4,0,0,0,0,4,4,0,2,2,0,2,2,0,0,0,0,6,4,22.65423406060606,82.20022463636361
179630,STATE - ODISHA,"Manufacture of luggage, handbags and the like, saddlery and harness",4,4,0,0,0,0,4,4,0,2,2,0,2,2,0,0,0,0,6,4,22.65423406060606,82.20022463636361
179631,STATE - ODISHA,Manufacture of footwear,97,79,18,69,55,14,28,24,4,37,30,7,23,16,7,14,14,0,134,4.388888888888889,22.65423406060606,82.20022463636361
179632,STATE - ODISHA,Manufacture of footwear,97,79,18,69,55,14,28,24,4,37,30,7,23,16,7,14,14,0,134,4.388888888888889,22.65423406060606,82.20022463636361
179633,STATE - ODISHA,Sawmilling and planing of wood,519,493,26,452,430,22,67,63,4,319,293,26,301,275,26,18,18,0,838,18.96153846153846,22.65423406060606,82.20022463636361
179634,STATE - ODISHA,Saw milling and planing of wood,519,493,26,452,430,22,67,63,4,319,293,26,301,275,26,18,18,0,838,18.96153846153846,22.65423406060606,82.20022463636361
179635,STATE - ODISHA,Manufacture of builders carpentry and joinery,2738,2705,33,2190,2165,25,548,540,8,961,926,35,824,797,27,137,129,8,3699,81.96969696969697,22.65423406060606,82.20022463636361
179636,STATE - ODISHA,Manufacture of paper and paper products,776,672,104,396,364,32,380,308,72,210,135,75,127,83,44,83,52,31,986,6.461538461538462,22.65423406060606,82.20022463636361
179637,STATE - ODISHA,Manufacture of paper and paper products,776,672,104,396,364,32,380,308,72,210,135,75,127,83,44,83,52,31,986,6.461538461538462,22.65423406060606,82.20022463636361
179638,STATE - ODISHA,"Manufacture of pulp, paper and paperboard",428,378,50,228,212,16,200,166,34,121,81,40,81,61,20,40,20,20,549,7.56,22.65423406060606,82.20022463636361
179639,STATE - ODISHA,Manufacture of corrugated paper and paperboard and containers of,104,78,26,36,28,8,68,50,18,57,34,23,20,6,14,37,28,9,161,3,22.65423406060606,82.20022463636361
179640,STATE - ODISHA,Manufacture of other articles of paper and paperboard,244,216,28,132,124,8,112,92,20,32,20,12,26,16,10,6,4,2,276,7.714285714285714,22.65423406060606,82.20022463636361
